DomainName,AreaType,variable,n,min,max,median,q1,q3,iqr,mad,mean,sd,se,ci
A. Overarching indicators,Counties & UAs (from Apr 2023),Life expectancy at 65 65 Male,3260,14.236,21.2,17.92,17.03,18.8,1.77,1.32,17.874,1.232,0.022,0.042
A. Overarching indicators,Counties & UAs (from Apr 2023),Life expectancy at 65 65 Female,3260,17.151,23.83,20.51,19.695,21.364,1.669,1.241,20.496,1.155,0.02,0.04
A. Overarching indicators,Counties & UAs (from Apr 2023),Inequality in healthy life expectancy at birth LA All ages Male,144,3.839,24.562,12.762,10.31,15.286,4.977,3.661,12.868,3.791,0.316,0.624
A. Overarching indicators,Counties & UAs (from Apr 2023),Inequality in healthy life expectancy at birth LA All ages Female,144,2.834,22.101,12.526,10.314,14.988,4.674,3.626,12.66,3.773,0.314,0.622
A. Overarching indicators,Counties & UAs (from Apr 2023),Inequality in life expectancy at birth All ages Male,1315,2.6,17.1,8.4,6.6,10.2,3.6,2.669,8.521,2.361,0.065,0.128
A. Overarching indicators,Counties & UAs (from Apr 2023),Inequality in life expectancy at birth All ages Female,1316,1.2,14.3,6.4,4.8,8.1,3.3,2.372,6.539,2.18,0.06,0.118
A. Overarching indicators,Counties & UAs (from Apr 2023),Inequality in life expectancy at 65 65 Male,1315,0.6,12.7,4.6,3.6,5.5,1.9,1.483,4.621,1.492,0.041,0.081
A. Overarching indicators,Counties & UAs (from Apr 2023),Inequality in life expectancy at 65 65 Female,1315,-0.6,9.7,4,2.9,5.2,2.3,1.631,4.117,1.676,0.046,0.091
A. Overarching indicators,Counties & UAs (from Apr 2023),Healthy life expectancy at 65 65 Male,1462,4.869,16.762,9.934,8.587,11.169,2.582,1.922,9.915,1.728,0.045,0.089
A. Overarching indicators,Counties & UAs (from Apr 2023),Healthy life expectancy at 65 65 Female,1462,5.2,17.848,10.493,9.122,11.77,2.647,1.979,10.478,1.85,0.048,0.095
A. Overarching indicators,Counties & UAs (from Apr 2023),Disability-free life expectancy at 65 65 Male,737,5.216,15.09,9.56,8.46,10.66,2.2,1.631,9.616,1.485,0.055,0.107
A. Overarching indicators,Counties & UAs (from Apr 2023),Disability-free life expectancy at 65 65 Female,737,5.99,15.964,9.649,8.48,10.71,2.23,1.63,9.614,1.576,0.058,0.114
A. Overarching indicators,Counties & UAs (from Apr 2023),Disability free life expectancy at birth All ages Male,735,52.71,71.175,62.179,59.574,64.64,5.066,3.707,62.133,3.4,0.125,0.246
A. Overarching indicators,Counties & UAs (from Apr 2023),Disability free life expectancy at birth All ages Female,735,49.89,70.31,61.248,58.559,63.325,4.766,3.497,61.063,3.457,0.128,0.25
A. Overarching indicators,Counties & UAs (pre Apr 2019),Healthy life expectancy at birth All ages Male,1488,52.952,74.65,62.635,60.023,65.013,4.991,3.692,62.546,3.393,0.088,0.173
A. Overarching indicators,Counties & UAs (pre Apr 2019),Healthy life expectancy at birth All ages Female,1488,53.487,72.16,63.132,60.043,65.856,5.812,4.305,63.033,3.611,0.094,0.184
A. Overarching indicators,Counties & UAs (pre Apr 2019),Life expectancy at birth All ages Male,2950,71.725,83.33,78.185,76.836,79.564,2.728,2.024,78.126,1.923,0.035,0.069
A. Overarching indicators,Counties & UAs (pre Apr 2019),Life expectancy at birth All ages Female,2950,77.696,86.54,82.251,81.1,83.42,2.32,1.718,82.205,1.587,0.029,0.057
A. Overarching indicators,Counties & UAs (pre Apr 2019),Life expectancy at 65 65 Male,2958,14.236,21.2,17.84,16.968,18.707,1.739,1.29,17.794,1.221,0.022,0.044
A. Overarching indicators,Counties & UAs (pre Apr 2019),Life expectancy at 65 65 Female,2958,17.151,23.81,20.45,19.64,21.28,1.64,1.216,20.429,1.139,0.021,0.041
A. Overarching indicators,Counties & UAs (pre Apr 2019),Inequality in life expectancy at birth All ages Male,1328,2.6,17.1,8.4,6.7,10.2,3.5,2.669,8.537,2.347,0.064,0.126
A. Overarching indicators,Counties & UAs (pre Apr 2019),Inequality in life expectancy at birth All ages Female,1329,1.2,14.3,6.4,4.9,8.1,3.2,2.372,6.544,2.171,0.06,0.117
A. Overarching indicators,Counties & UAs (pre Apr 2019),Inequality in life expectancy at 65 65 Male,1328,0.6,12.7,4.6,3.6,5.5,1.9,1.483,4.62,1.483,0.041,0.08
A. Overarching indicators,Counties & UAs (pre Apr 2019),Inequality in life expectancy at 65 65 Female,1328,-0.6,9.7,4,2.9,5.2,2.3,1.631,4.115,1.668,0.046,0.09
A. Overarching indicators,Counties & UAs (pre Apr 2019),Healthy life expectancy at 65 65 Male,588,5.9,16.13,10.186,8.79,11.276,2.487,1.794,10.145,1.736,0.072,0.141
A. Overarching indicators,Counties & UAs (pre Apr 2019),Healthy life expectancy at 65 65 Female,588,5.2,17.848,10.779,9.431,11.97,2.54,1.907,10.751,1.878,0.077,0.152
A. Overarching indicators,Counties & UAs (pre Apr 2019),Disability-free life expectancy at 65 65 Male,588,5.216,15.09,9.594,8.504,10.66,2.156,1.608,9.647,1.466,0.06,0.119
A. Overarching indicators,Counties & UAs (pre Apr 2019),Disability-free life expectancy at 65 65 Female,588,5.99,15.964,9.614,8.488,10.704,2.216,1.639,9.616,1.582,0.065,0.128
A. Overarching indicators,Counties & UAs (pre Apr 2019),Disability free life expectancy at birth All ages Male,738,52.71,71.175,62.116,59.578,64.592,5.014,3.73,62.112,3.382,0.125,0.244
A. Overarching indicators,Counties & UAs (pre Apr 2019),Disability free life expectancy at birth All ages Female,738,49.89,70.31,61.271,58.563,63.319,4.756,3.489,61.061,3.45,0.127,0.249
A. Overarching indicators,Districts & UAs (2020/21),Healthy life expectancy at birth All ages Male,1230,52.952,74.65,61.852,59.421,64.435,5.014,3.679,62.087,3.459,0.099,0.194
A. Overarching indicators,Districts & UAs (2020/21),Healthy life expectancy at birth All ages Female,1230,53.487,72.16,62.364,59.551,65.285,5.734,4.275,62.526,3.657,0.104,0.205
A. Overarching indicators,Districts & UAs (2020/21),Life expectancy at birth All ages Male,6780,71.725,83.81,78.87,77.5,80.23,2.73,2.021,78.776,1.909,0.023,0.045
A. Overarching indicators,Districts & UAs (2020/21),Life expectancy at birth All ages Female,6780,77.696,87.02,82.72,81.58,83.815,2.235,1.657,82.656,1.56,0.019,0.037
A. Overarching indicators,Districts & UAs (2020/21),Life expectancy at 65 65 Male,6801,14.236,21.6,18.227,17.368,19.119,1.752,1.294,18.174,1.214,0.015,0.029
A. Overarching indicators,Districts & UAs (2020/21),Life expectancy at 65 65 Female,6801,17.151,23.83,20.78,19.97,21.55,1.58,1.171,20.734,1.117,0.014,0.027
A. Overarching indicators,Districts & UAs (2020/21),Inequality in life expectancy at birth All ages Male,2773,-1.4,17.1,7.5,5.6,9.5,3.9,2.965,7.444,2.789,0.053,0.104
A. Overarching indicators,Districts & UAs (2020/21),Inequality in life expectancy at birth All ages Female,2785,-2.6,14.3,5.8,4,7.6,3.6,2.669,5.736,2.595,0.049,0.096
A. Overarching indicators,Districts & UAs (2020/21),Inequality in life expectancy at 65 65 Male,2769,-1.7,12.7,4,2.8,5.2,2.4,1.779,4.008,1.749,0.033,0.065
A. Overarching indicators,Districts & UAs (2020/21),Inequality in life expectancy at 65 65 Female,2784,-4.2,10.2,3.7,2.2,4.925,2.725,1.927,3.607,1.972,0.037,0.073
A. Overarching indicators,Districts & UAs (2020/21),Healthy life expectancy at 65 65 Male,1230,4.869,16.762,9.609,8.389,10.961,2.572,1.914,9.713,1.762,0.05,0.099
A. Overarching indicators,Districts & UAs (2020/21),Healthy life expectancy at 65 65 Female,1230,5.2,17.848,10.129,8.861,11.522,2.661,1.938,10.234,1.861,0.053,0.104
A. Overarching indicators,Districts & UAs (2020/21),Disability-free life expectancy at 65 65 Male,620,5.216,15.09,9.339,8.339,10.507,2.167,1.592,9.467,1.527,0.061,0.12
A. Overarching indicators,Districts & UAs (2020/21),Disability-free life expectancy at 65 65 Female,620,5.99,15.964,9.443,8.281,10.507,2.226,1.654,9.457,1.629,0.065,0.128
A. Overarching indicators,Districts & UAs (2020/21),Disability free life expectancy at birth All ages Male,618,52.71,71.175,61.437,59.266,64.423,5.158,3.815,61.797,3.51,0.141,0.277
A. Overarching indicators,Districts & UAs (2020/21),Disability free life expectancy at birth All ages Female,618,49.89,70.31,60.913,58.133,63.139,5.006,3.787,60.754,3.58,0.144,0.283
A. Overarching indicators,Districts & UAs (2021/22-2022/23),Healthy life expectancy at birth All ages Male,1232,52.952,74.65,61.855,59.425,64.428,5.003,3.674,62.09,3.457,0.098,0.193
A. Overarching indicators,Districts & UAs (2021/22-2022/23),Healthy life expectancy at birth All ages Female,1232,53.487,72.16,62.374,59.557,65.281,5.724,4.267,62.529,3.655,0.104,0.204
A. Overarching indicators,Districts & UAs (2021/22-2022/23),Life expectancy at birth All ages Male,6122,71.725,83.74,78.823,77.48,80.16,2.68,1.982,78.724,1.895,0.024,0.047
A. Overarching indicators,Districts & UAs (2021/22-2022/23),Life expectancy at birth All ages Female,6122,77.696,87,82.673,81.556,83.76,2.204,1.631,82.608,1.538,0.02,0.039
A. Overarching indicators,Districts & UAs (2021/22-2022/23),Life expectancy at 65 65 Male,6122,14.236,21.32,18.162,17.322,19.05,1.728,1.287,18.119,1.205,0.015,0.03
A. Overarching indicators,Districts & UAs (2021/22-2022/23),Life expectancy at 65 65 Female,6122,17.151,23.81,20.736,19.94,21.5,1.56,1.152,20.689,1.105,0.014,0.028
A. Overarching indicators,Districts & UAs (2021/22-2022/23),Inequality in life expectancy at 65 65 Male,2718,-1.7,12.7,4,2.8,5.2,2.4,1.779,4.019,1.75,0.034,0.066
A. Overarching indicators,Districts & UAs (2021/22-2022/23),Inequality in life expectancy at 65 65 Female,2731,-4.2,10.2,3.7,2.3,5,2.7,1.927,3.62,1.969,0.038,0.074
A. Overarching indicators,Districts & UAs (from Apr 2023),Healthy life expectancy at birth All ages Male,1252,52.952,74.65,61.946,59.452,64.59,5.138,3.746,62.142,3.457,0.098,0.192
A. Overarching indicators,Districts & UAs (from Apr 2023),Healthy life expectancy at birth All ages Female,1252,53.487,72.16,62.436,59.621,65.345,5.724,4.278,62.593,3.664,0.104,0.203
A. Overarching indicators,Districts & UAs (from Apr 2023),Life expectancy at birth All ages Male,6406,71.725,83.81,78.871,77.501,80.21,2.709,2.004,78.773,1.913,0.024,0.047
A. Overarching indicators,Districts & UAs (from Apr 2023),Life expectancy at birth All ages Female,6406,77.696,87.02,82.721,81.584,83.8,2.216,1.644,82.653,1.561,0.02,0.038
A. Overarching indicators,Districts & UAs (from Apr 2023),Life expectancy at 65 65 Male,6406,14.236,21.6,18.222,17.364,19.1,1.736,1.293,18.167,1.214,0.015,0.03
A. Overarching indicators,Districts & UAs (from Apr 2023),Life expectancy at 65 65 Female,6406,17.151,23.83,20.78,19.968,21.54,1.572,1.167,20.729,1.119,0.014,0.027
A. Overarching indicators,Districts & UAs (from Apr 2023),Inequality in life expectancy at birth All ages Male,2588,-0.7,17.1,7.5,5.7,9.5,3.8,2.817,7.531,2.696,0.053,0.104
A. Overarching indicators,Districts & UAs (from Apr 2023),Inequality in life expectancy at birth All ages Female,2598,-2.6,14.3,5.8,4,7.6,3.6,2.669,5.784,2.568,0.05,0.099
A. Overarching indicators,Districts & UAs (from Apr 2023),Inequality in life expectancy at 65 65 Male,2585,-0.9,12.7,4.1,2.9,5.2,2.3,1.779,4.084,1.723,0.034,0.066
A. Overarching indicators,Districts & UAs (from Apr 2023),Inequality in life expectancy at 65 65 Female,2597,-4.2,10.2,3.7,2.3,5,2.7,1.927,3.652,1.952,0.038,0.075
A. Overarching indicators,Districts & UAs (from Apr 2023),Healthy life expectancy at 65 65 Male,1252,4.869,16.762,9.646,8.411,11.022,2.611,1.935,9.742,1.763,0.05,0.098
A. Overarching indicators,Districts & UAs (from Apr 2023),Healthy life expectancy at 65 65 Female,1252,5.2,17.848,10.169,8.877,11.558,2.681,1.97,10.268,1.866,0.053,0.103
A. Overarching indicators,Districts & UAs (from Apr 2023),Disability-free life expectancy at 65 65 Male,632,5.216,15.09,9.389,8.341,10.508,2.167,1.584,9.484,1.518,0.06,0.119
A. Overarching indicators,Districts & UAs (from Apr 2023),Disability-free life expectancy at 65 65 Female,632,5.99,15.964,9.454,8.298,10.527,2.229,1.662,9.476,1.624,0.065,0.127
A. Overarching indicators,Districts & UAs (from Apr 2023),Disability free life expectancy at birth All ages Male,630,52.71,71.175,61.515,59.288,64.382,5.095,3.762,61.828,3.486,0.139,0.273
A. Overarching indicators,Districts & UAs (from Apr 2023),Disability free life expectancy at birth All ages Female,630,49.89,70.31,60.947,58.212,63.147,4.935,3.748,60.782,3.559,0.142,0.278
A. Overarching indicators,Districts & UAs (pre Apr 2019),Life expectancy at birth All ages Male,6230,71.725,83.74,78.79,77.462,80.134,2.672,1.987,78.706,1.892,0.024,0.047
A. Overarching indicators,Districts & UAs (pre Apr 2019),Life expectancy at birth All ages Female,6230,77.696,87,82.657,81.55,83.737,2.187,1.627,82.595,1.536,0.019,0.038
A. Overarching indicators,Districts & UAs (pre Apr 2019),Life expectancy at 65 65 Male,6273,14.236,21.32,18.154,17.31,19.04,1.73,1.281,18.112,1.203,0.015,0.03
A. Overarching indicators,Districts & UAs (pre Apr 2019),Life expectancy at 65 65 Female,6273,17.151,23.81,20.73,19.939,21.49,1.551,1.156,20.686,1.107,0.014,0.027
A. Overarching indicators,Districts & UAs (pre Apr 2019),Inequality in life expectancy at birth All ages Male,2825,-1.4,17.1,7.4,5.5,9.5,4,2.965,7.396,2.82,0.053,0.104
A. Overarching indicators,Districts & UAs (pre Apr 2019),Inequality in life expectancy at birth All ages Female,2837,-2.6,14.3,5.8,3.9,7.6,3.7,2.669,5.697,2.619,0.049,0.096
A. Overarching indicators,Districts & UAs (pre Apr 2019),Inequality in life expectancy at 65 65 Male,2821,-1.7,12.7,4,2.8,5.2,2.4,1.779,3.984,1.763,0.033,0.065
A. Overarching indicators,Districts & UAs (pre Apr 2019),Inequality in life expectancy at 65 65 Female,2836,-4.2,11.2,3.6,2.2,4.9,2.7,2.076,3.585,1.994,0.037,0.073
A. Overarching indicators,England,Healthy life expectancy at birth All ages Male,10,63.026,63.379,63.247,63.163,63.371,0.208,0.161,63.248,0.126,0.04,0.09
A. Overarching indicators,England,Healthy life expectancy at birth All ages Female,10,63.52,64.063,63.862,63.814,64,0.185,0.107,63.87,0.161,0.051,0.115
A. Overarching indicators,England,Life expectancy at birth All ages Male,22,76.198,79.66,78.935,77.845,79.428,1.582,0.815,78.56,1.088,0.232,0.483
A. Overarching indicators,England,Life expectancy at birth All ages Female,22,80.7,83.31,82.82,81.922,83.107,1.186,0.497,82.486,0.828,0.176,0.367
A. Overarching indicators,England,Inequality in healthy life expectancy at birth ENGLAND All ages Male,8,18.6,19.1,18.935,18.789,19.017,0.228,0.162,18.887,0.193,0.068,0.161
A. Overarching indicators,England,Inequality in healthy life expectancy at birth ENGLAND All ages Female,8,18.791,19.683,19.3,19.095,19.433,0.338,0.312,19.277,0.286,0.101,0.239
A. Overarching indicators,England,Inequality in healthy life expectancy at birth ENGLAND Not applicable Male,2,18.6,19,18.8,18.7,18.9,0.2,0.297,18.8,0.283,0.2,2.541
A. Overarching indicators,England,Inequality in healthy life expectancy at birth ENGLAND Not applicable Female,2,19.3,19.3,19.3,19.3,19.3,0,0,19.3,0,0,0
A. Overarching indicators,England,Life expectancy at 65 65 Male,22,16.28,18.87,18.42,17.57,18.694,1.124,0.482,18.067,0.809,0.172,0.359
A. Overarching indicators,England,Life expectancy at 65 65 Female,22,19.23,21.235,20.95,20.205,21.08,0.875,0.297,20.625,0.64,0.137,0.284
A. Overarching indicators,England,Inequality in life expectancy at birth All ages Male,18,9,9.7,9.4,9.225,9.475,0.25,0.222,9.367,0.203,0.048,0.101
A. Overarching indicators,England,Inequality in life expectancy at birth All ages Female,18,6.3,7.9,6.75,6.625,7.25,0.625,0.371,6.928,0.448,0.106,0.223
A. Overarching indicators,England,Inequality in life expectancy at 65 65 Male,9,4.6,5.2,4.8,4.7,4.9,0.2,0.148,4.833,0.187,0.062,0.144
A. Overarching indicators,England,Inequality in life expectancy at 65 65 Female,9,4,4.8,4.4,4.2,4.6,0.4,0.297,4.4,0.274,0.091,0.211
A. Overarching indicators,England,Healthy life expectancy at 65 65 Male,10,9.937,10.579,10.298,10.175,10.491,0.316,0.272,10.301,0.226,0.071,0.162
A. Overarching indicators,England,Healthy life expectancy at 65 65 Female,10,10.562,11.34,10.875,10.679,11.03,0.351,0.304,10.876,0.241,0.076,0.172
A. Overarching indicators,England,Disability-free life expectancy at 65 65 Male,5,9.675,9.897,9.86,9.84,9.891,0.051,0.045,9.833,0.091,0.041,0.113
A. Overarching indicators,England,Disability-free life expectancy at 65 65 Female,5,9.717,9.87,9.819,9.74,9.823,0.083,0.076,9.794,0.064,0.028,0.079
A. Overarching indicators,England,Disability free life expectancy at birth All ages Male,5,62.35,63.076,62.848,62.69,62.94,0.25,0.234,62.781,0.279,0.125,0.346
A. Overarching indicators,England,Disability free life expectancy at birth All ages Female,5,60.94,62.293,61.878,61.24,62.154,0.914,0.615,61.701,0.587,0.263,0.729
B. Wider determinants of health,Counties & UAs (2019/20),School readiness: percentage of children achieving a good level of development at the end of Reception 5 yrs Male,295,45.6,100,59.6,56.815,62.265,5.45,4.062,59.842,4.72,0.275,0.541
B. Wider determinants of health,Counties & UAs (2019/20),School readiness: percentage of children achieving a good level of development at the end of Reception 5 yrs Female,295,60.7,93.94,73.23,70.785,75.085,4.3,3.158,73.08,3.726,0.217,0.427
B. Wider determinants of health,Counties & UAs (2019/20),School readiness: percentage of children achieving a good level of development at the end of Reception 5 yrs Persons,295,53.1,84.21,66.2,63.815,68.7,4.885,3.662,66.292,3.825,0.223,0.438
B. Wider determinants of health,Counties & UAs (2020/21),Pupil absence 5-15 yrs Persons,1660,1.96,9.18,4.843,4.523,5.363,0.84,0.56,5.099,0.945,0.023,0.046
B. Wider determinants of health,Counties & UAs (2020/21),First time entrants to the youth justice system 10-17 yrs Persons,1858,37.153,2069.419,336.511,199.776,526.999,327.224,224.361,403.477,274.792,6.375,12.503
B. Wider determinants of health,Counties & UAs (2020/21),Adults with a learning disability who live in stable and appropriate accommodation 18-64 yrs Male,1767,30.576,132.692,77.5,70.594,84.183,13.589,9.949,76.663,10.791,0.257,0.503
B. Wider determinants of health,Counties & UAs (2020/21),Adults with a learning disability who live in stable and appropriate accommodation 18-64 yrs Female,1769,30.714,102.564,78.3,71.915,85.185,13.27,9.785,77.528,10.755,0.256,0.502
B. Wider determinants of health,Counties & UAs (2020/21),Adults with a learning disability who live in stable and appropriate accommodation 18-64 yrs Persons,1781,18.2,100,77.72,71.304,84.66,13.356,9.801,76.986,10.739,0.254,0.499
B. Wider determinants of health,Counties & UAs (2020/21),Adults in contact with secondary mental health services who live in stable and appropriate accommodation 18-69 yrs Male,1481,1,92.7,63,47,73.2,26.2,18.977,58.708,19.836,0.515,1.011
B. Wider determinants of health,Counties & UAs (2020/21),Adults in contact with secondary mental health services who live in stable and appropriate accommodation 18-69 yrs Female,1480,0,100,67,49.45,78,28.55,19.274,62.255,20.766,0.54,1.059
B. Wider determinants of health,Counties & UAs (2020/21),Adults in contact with secondary mental health services who live in stable and appropriate accommodation 18-69 yrs Persons,1488,1,94.4,64.55,48,75,27,18.829,60.14,20.252,0.525,1.03
B. Wider determinants of health,Counties & UAs (2020/21),Violent crime - hospital admissions for violence (including sexual violence) All ages Male,1457,11.458,298.563,77.351,52.962,106.139,53.177,38.599,83.993,40.181,1.053,2.065
B. Wider determinants of health,Counties & UAs (2020/21),Violent crime - hospital admissions for violence (including sexual violence) All ages Female,1442,4.369,78.874,18.389,12.971,25.254,12.283,8.73,20.712,10.817,0.285,0.559
B. Wider determinants of health,Counties & UAs (2020/21),Violent crime - hospital admissions for violence (including sexual violence) All ages Persons,1477,7.461,188.902,47.69,32.96,65.485,32.525,23.375,52.009,24.89,0.648,1.27
B. Wider determinants of health,Counties & UAs (2020/21),"Violent crime - violence offences per 1,000 population All ages Persons",1906,1.304,152.152,19.778,12.27,28.898,16.629,11.894,22.668,14.091,0.323,0.633
B. Wider determinants of health,Counties & UAs (2020/21),The rate of complaints about noise All ages Persons,1327,0.748,731.341,5.372,3.919,9.009,5.09,2.741,9.178,22.29,0.612,1.2
B. Wider determinants of health,Counties & UAs (2020/21),Utilisation of outdoor space for exercise or health reasons 16+ yrs Persons,673,0.303,41.248,16.178,12.334,19.643,7.308,5.567,16.246,6.059,0.234,0.459
B. Wider determinants of health,Counties & UAs (2020/21),Social Isolation: percentage of adult social care users who have as much social contact as they would like 18+ yrs Persons,1763,24.3,61.1,44.1,40.8,47.3,6.5,4.744,44.056,4.628,0.11,0.216
B. Wider determinants of health,Counties & UAs (2020/21),Social Isolation: percentage of adult social care users who have as much social contact as they would like 65+ yrs Persons,1175,13.6,65.9,42.3,38.3,46,7.7,5.634,42.127,5.528,0.161,0.316
B. Wider determinants of health,Counties & UAs (2020/21),Gap in the employment rate between those with a physical or mental long term health condition (aged 16 to 64) and the overall employment rate 16-64 yrs Persons,1476,-6.495,30.4,11.8,9.051,14.505,5.454,4.049,11.838,4.013,0.104,0.205
