IndicatorID,IndicatorName,AreaCode,Sex,Age,Value,Count,Denominator,TimeperiodSortable
93553,Deprivation score (IMD 2019),nE38000200,Persons,All ages,19.983,,,20150000
93553,Deprivation score (IMD 2019),nE38000201,Persons,All ages,13.443,,,20150000
93553,Deprivation score (IMD 2019),nE38000204,Persons,All ages,16.393,,,20150000
93553,Deprivation score (IMD 2019),nE38000205,Persons,All ages,24.857,,,20150000
93553,Deprivation score (IMD 2019),nE38000208,Persons,All ages,26.892,,,20150000
93553,Deprivation score (IMD 2019),nE38000212,Persons,All ages,27.297,,,20150000
93553,Deprivation score (IMD 2019),nE38000215,Persons,All ages,21.23,,,20150000
93553,Deprivation score (IMD 2019),nE38000217,Persons,All ages,40.630057775716,,,20150000
93553,Deprivation score (IMD 2019),nE38000006,Persons,All ages,29.933,,,20190000
93553,Deprivation score (IMD 2019),nE38000007,Persons,All ages,19.329,,,20190000
93553,Deprivation score (IMD 2019),nE38000008,Persons,All ages,22.588,,,20190000
93553,Deprivation score (IMD 2019),nE38000014,Persons,All ages,36.013,,,20190000
93553,Deprivation score (IMD 2019),nE38000015,Persons,All ages,45.039,,,20190000
93553,Deprivation score (IMD 2019),nE38000016,Persons,All ages,30.691,,,20190000
93553,Deprivation score (IMD 2019),nE38000021,Persons,All ages,20.761,,,20190000
93553,Deprivation score (IMD 2019),nE38000024,Persons,All ages,23.682,,,20190000
93553,Deprivation score (IMD 2019),nE38000025,Persons,All ages,26.351,,,20190000
93553,Deprivation score (IMD 2019),nE38000028,Persons,All ages,19.232,,,20190000
93553,Deprivation score (IMD 2019),nE38000030,Persons,All ages,13.718,,,20190000
93553,Deprivation score (IMD 2019),nE38000034,Persons,All ages,17.612,,,20190000
93553,Deprivation score (IMD 2019),nE38000044,Persons,All ages,30.289,,,20190000
93553,Deprivation score (IMD 2019),nE38000045,Persons,All ages,16.986,,,20190000
93553,Deprivation score (IMD 2019),nE38000049,Persons,All ages,13.759,,,20190000
93553,Deprivation score (IMD 2019),nE38000050,Persons,All ages,29.383,,,20190000
93553,Deprivation score (IMD 2019),nE38000051,Persons,All ages,10.704,,,20190000
93553,Deprivation score (IMD 2019),nE38000052,Persons,All ages,16.083,,,20190000
93553,Deprivation score (IMD 2019),nE38000053,Persons,All ages,18.151,,,20190000
93553,Deprivation score (IMD 2019),nE38000062,Persons,All ages,14.932,,,20190000
93553,Deprivation score (IMD 2019),nE38000068,Persons,All ages,32.325,,,20190000
93553,Deprivation score (IMD 2019),nE38000079,Persons,All ages,11.912,,,20190000
93553,Deprivation score (IMD 2019),nE38000080,Persons,All ages,34.415,,,20190000
93553,Deprivation score (IMD 2019),nE38000085,Persons,All ages,40.564,,,20190000
93553,Deprivation score (IMD 2019),nE38000086,Persons,All ages,17.697,,,20190000
93553,Deprivation score (IMD 2019),nE38000089,Persons,All ages,23.025,,,20190000
93553,Deprivation score (IMD 2019),nE38000091,Persons,All ages,43.006,,,20190000
93553,Deprivation score (IMD 2019),nE38000097,Persons,All ages,30.877,,,20190000
93553,Deprivation score (IMD 2019),nE38000101,Persons,All ages,42.412,,,20190000
93553,Deprivation score (IMD 2019),nE38000106,Persons,All ages,13.515,,,20190000
93553,Deprivation score (IMD 2019),nE38000117,Persons,All ages,22.727,,,20190000
93553,Deprivation score (IMD 2019),nE38000119,Persons,All ages,31.335,,,20190000
93553,Deprivation score (IMD 2019),nE38000122,Persons,All ages,22.096,,,20190000
93553,Deprivation score (IMD 2019),nE38000126,Persons,All ages,17.516,,,20190000
93553,Deprivation score (IMD 2019),nE38000127,Persons,All ages,22.279,,,20190000
93553,Deprivation score (IMD 2019),nE38000130,Persons,All ages,22.079,,,20190000
93553,Deprivation score (IMD 2019),nE38000135,Persons,All ages,33.155,,,20190000
93553,Deprivation score (IMD 2019),nE38000136,Persons,All ages,11.772,,,20190000
93553,Deprivation score (IMD 2019),nE38000137,Persons,All ages,26.899,,,20190000
93553,Deprivation score (IMD 2019),nE38000141,Persons,All ages,29.55,,,20190000
93553,Deprivation score (IMD 2019),nE38000143,Persons,All ages,34.21,,,20190000
93553,Deprivation score (IMD 2019),nE38000146,Persons,All ages,27.06,,,20190000
93553,Deprivation score (IMD 2019),nE38000150,Persons,All ages,18.553,,,20190000
93553,Deprivation score (IMD 2019),nE38000153,Persons,All ages,15.482,,,20190000
93553,Deprivation score (IMD 2019),nE38000161,Persons,All ages,32.588,,,20190000
93553,Deprivation score (IMD 2019),nE38000163,Persons,All ages,31.509,,,20190000
93553,Deprivation score (IMD 2019),nE38000168,Persons,All ages,22.375,,,20190000
93553,Deprivation score (IMD 2019),nE38000170,Persons,All ages,19.405,,,20190000
93553,Deprivation score (IMD 2019),nE38000172,Persons,All ages,31.518,,,20190000
93553,Deprivation score (IMD 2019),nE38000173,Persons,All ages,13.476,,,20190000
93553,Deprivation score (IMD 2019),nE38000174,Persons,All ages,20.826,,,20190000
93553,Deprivation score (IMD 2019),nE38000175,Persons,All ages,33.727,,,20190000
93553,Deprivation score (IMD 2019),nE38000176,Persons,All ages,30.586,,,20190000
93553,Deprivation score (IMD 2019),nE38000185,Persons,All ages,20.928,,,20190000
93553,Deprivation score (IMD 2019),nE38000187,Persons,All ages,16.088,,,20190000
93553,Deprivation score (IMD 2019),nE38000188,Persons,All ages,11.9,,,20190000
93553,Deprivation score (IMD 2019),nE38000190,Persons,All ages,27.306,,,20190000
93553,Deprivation score (IMD 2019),nE38000194,Persons,All ages,18.942,,,20190000
93553,Deprivation score (IMD 2019),nE38000197,Persons,All ages,15.223,,,20190000
93553,Deprivation score (IMD 2019),nE38000200,Persons,All ages,18.645,,,20190000
93553,Deprivation score (IMD 2019),nE38000201,Persons,All ages,13.312,,,20190000
93553,Deprivation score (IMD 2019),nE38000204,Persons,All ages,16.006,,,20190000
93553,Deprivation score (IMD 2019),nE38000205,Persons,All ages,25.713,,,20190000
93553,Deprivation score (IMD 2019),nE38000208,Persons,All ages,29.589,,,20190000
93553,Deprivation score (IMD 2019),nE38000212,Persons,All ages,29.145,,,20190000
93553,Deprivation score (IMD 2019),nE38000215,Persons,All ages,21.863,,,20190000
93553,Deprivation score (IMD 2019),nE38000217,Persons,All ages,40.005,,,20190000
93553,Deprivation score (IMD 2019),nE38000221,Persons,All ages,11.828,,,20190000
93553,Deprivation score (IMD 2019),nE38000222,Persons,All ages,19.693,,,20190000
93553,Deprivation score (IMD 2019),nE38000223,Persons,All ages,10.027,,,20190000
93553,Deprivation score (IMD 2019),nE38000225,Persons,All ages,27.301,,,20190000
93553,Deprivation score (IMD 2019),nE38000226,Persons,All ages,18.723,,,20190000
93553,Deprivation score (IMD 2019),nE38000227,Persons,All ages,23.938,,,20190000
93553,Deprivation score (IMD 2019),nE38000228,Persons,All ages,21.78,,,20190000
93553,Deprivation score (IMD 2019),nE38000230,Persons,All ages,20.17,,,20190000
241,Diabetes: QOF prevalence (17+ yrs),nE38000006,Persons,17+ yrs,6.15737115288377,9367,152126.61,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000007,Persons,17+ yrs,5.00964932228804,8869,177038.34,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000008,Persons,17+ yrs,5.86926961989523,4556,77624.65,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000014,Persons,17+ yrs,6.57385711588924,6815,103668.21,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000015,Persons,17+ yrs,6.19385882437642,7261,117229.02,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000016,Persons,17+ yrs,6.50888433236632,13581,208653.27,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000021,Persons,17+ yrs,3.69685363711257,6776,183291,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000024,Persons,17+ yrs,5.35786000196392,6283,117266.968485495,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000025,Persons,17+ yrs,5.20237918833766,7759,149143.3,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000028,Persons,17+ yrs,5.66485271607511,5045,89057.92,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000030,Persons,17+ yrs,5.39674575440856,6830,126557.75,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000034,Persons,17+ yrs,5.84830554870456,7154,122326.03,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000044,Persons,17+ yrs,6.4529675297811,13790,213700.13,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000045,Persons,17+ yrs,5.29317954460468,25611,483849.07,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000049,Persons,17+ yrs,4.88294633243189,18991,388925.02,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000050,Persons,17+ yrs,5.82556832982513,14438,247838.48,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000051,Persons,17+ yrs,5.22933252103199,12223,233739.2,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000052,Persons,17+ yrs,5.84927369816464,10025,171388.8,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000053,Persons,17+ yrs,5.68753421530047,5792,101836.75,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000062,Persons,17+ yrs,5.44157661909737,22105,406224.18,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000068,Persons,17+ yrs,6.6756297744632,6361,95286.89,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000079,Persons,17+ yrs,4.38088248298392,17493,399303.11,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000080,Persons,17+ yrs,6.00470546157492,9935,165453.577424832,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000085,Persons,17+ yrs,5.17182171237426,7738,149618.46,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000086,Persons,17+ yrs,4.91795901006736,13179,267977.02,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000089,Persons,17+ yrs,5.33870396641171,20020,374997.38,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000091,Persons,17+ yrs,6.19323908250381,7044,113736.93,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000097,Persons,17+ yrs,6.95410432505466,17218,247594.79,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000101,Persons,17+ yrs,5.33872361685087,19487,365012.34,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000106,Persons,17+ yrs,4.96687356249608,12583,253338.44,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000117,Persons,17+ yrs,5.69591333972965,11117,195175.02,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000119,Persons,17+ yrs,5.88444104390417,6528,110936.62,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000122,Persons,17+ yrs,6.14812893040956,7652,124460.63,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000126,Persons,17+ yrs,6.32128382622179,9843,155712.04,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000127,Persons,17+ yrs,5.66930807335632,8408,148307.34,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000130,Persons,17+ yrs,6.31127696861801,13180,208832.54,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000135,Persons,17+ yrs,5.81471903959566,7968,137031.556395785,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000136,Persons,17+ yrs,4.27408050824869,20445,478348.5,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000137,Persons,17+ yrs,4.65291063209316,4112,88374.79,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000141,Persons,17+ yrs,5.82506243941813,10760,184719.05,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000143,Persons,17+ yrs,5.53708787267091,8606,155424.66,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000146,Persons,17+ yrs,5.45906087805231,21639,396386.86,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000150,Persons,17+ yrs,5.38064833031162,20918,388763.56,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000153,Persons,17+ yrs,5.44019100087884,7297,134131.32,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000161,Persons,17+ yrs,5.42709827199798,6235,114886.44,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000163,Persons,17+ yrs,6.25807839179379,6835,109218.83,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000168,Persons,17+ yrs,5.1670592840425,6051,117107.23,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000170,Persons,17+ yrs,5.74974217209623,5273,91708.46,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000172,Persons,17+ yrs,6.28621285931878,8591,136664.16,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000173,Persons,17+ yrs,4.91987029386248,5757,117015.28,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000174,Persons,17+ yrs,5.19564653226579,9746,187580.12,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000175,Persons,17+ yrs,6.53744954888359,11340,173462.141699228,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000176,Persons,17+ yrs,5.66507586493447,10793,190518.19,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000185,Persons,17+ yrs,5.6071925713612,5693,101530.31,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000187,Persons,17+ yrs,5.35363836850328,8060,150551.82,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000188,Persons,17+ yrs,4.64382262974798,10197,219582.03,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000190,Persons,17+ yrs,5.76583395071053,14054,243746.18,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000194,Persons,17+ yrs,5.86466738743842,8614,146879.6,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000197,Persons,17+ yrs,5.25600070284086,10302,196004.54,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000200,Persons,17+ yrs,5.53388295708281,4067,73492.7,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000201,Persons,17+ yrs,5.38216327275578,15051,279645.92,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000204,Persons,17+ yrs,5.04203452336773,9327,184984.85,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000205,Persons,17+ yrs,6.01105797131721,14029,233386.536395785,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000208,Persons,17+ yrs,5.78306748990388,12401,214436.37,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000212,Persons,17+ yrs,5.23921609741834,18270,348716.29,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000215,Persons,17+ yrs,5.34080569471959,10383,194408.87,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000217,Persons,17+ yrs,5.41712579609226,20191,372725.33,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000221,Persons,17+ yrs,3.92528336935304,13535,344815.87,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000222,Persons,17+ yrs,4.66426457864811,27361,586609.09,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000223,Persons,17+ yrs,4.71152347533846,16569,351669.69,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000225,Persons,17+ yrs,4.62966281159204,26742,577623.06,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000226,Persons,17+ yrs,5.82544779512312,7347,126119.06,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000227,Persons,17+ yrs,5.23386038551155,6943,132655.43,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000228,Persons,17+ yrs,5.26454409108212,10522,199865.36,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000230,Persons,17+ yrs,5.14047429944426,39493,768275.41,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000231,Persons,17+ yrs,4.90726242722501,28267,576023.81,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000232,Persons,17+ yrs,6.60671426634351,20157,305098.71,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000233,Persons,17+ yrs,5.32743224988065,27218,510902.79,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000234,Persons,17+ yrs,5.94384542113313,23356,392944.27,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000235,Persons,17+ yrs,5.26712831979837,17548,333160.67,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000236,Persons,17+ yrs,5.48098601100619,29646,540888.08,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000237,Persons,17+ yrs,5.52546205647852,61642,1115599.01,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000238,Persons,17+ yrs,6.25831546001133,33225,530893.66,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000239,Persons,17+ yrs,5.58653087425776,40216,719874.299546285,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000240,Persons,17+ yrs,4.98940502496515,42682,855452.7,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000241,Persons,17+ yrs,4.67564833667344,14257,304920.28,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000243,Persons,17+ yrs,5.09807373128187,33928,665506.263509239,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000244,Persons,17+ yrs,4.76060472652535,52918,1111581.47,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000245,Persons,17+ yrs,4.41754856242915,46622,1055381.72,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000246,Persons,17+ yrs,4.47384110486742,34233,765181.4,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000247,Persons,17+ yrs,5.42445968346007,27206,501543.04,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000248,Persons,17+ yrs,5.17543866726652,30148,582520.67,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000249,Persons,17+ yrs,5.34255177102019,32304,604654.88,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000251,Persons,17+ yrs,5.15609247783961,33582,651307.17,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000252,Persons,17+ yrs,5.05716183389207,25214,498580.05,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000253,Persons,17+ yrs,4.98588264079975,48029,963299.85,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000254,Persons,17+ yrs,5.54777848426396,16371,295091.09,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000255,Persons,17+ yrs,6.00691082029602,73705,1227003.4,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000256,Persons,17+ yrs,5.53348304579207,81931,1480640.66198422,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000257,Persons,17+ yrs,5.25779255876989,16602,315759.89,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000258,Persons,17+ yrs,6.47715579328751,54499,841403.26,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000259,Persons,17+ yrs,6.67409349500435,51523,771984.99,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000260,Persons,17+ yrs,4.91013126365287,26292,535464.3,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000261,Persons,17+ yrs,6.00691161788962,44317,737766.806290546,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000262,Persons,17+ yrs,5.27370115192658,26115,495193.02,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000263,Persons,17+ yrs,6.11376462795603,8265,135186.754854892,20090000
241,Diabetes: QOF prevalence (17+ yrs),nE38000006,Persons,17+ yrs,6.34084662912391,9819,154853.138300187,20100000
241,Diabetes: QOF prevalence (17+ yrs),nE38000007,Persons,17+ yrs,5.26367387583083,9557,181565.2,20100000
241,Diabetes: QOF prevalence (17+ yrs),nE38000008,Persons,17+ yrs,6.12123472264717,4807,78529.9080627508,20100000
241,Diabetes: QOF prevalence (17+ yrs),nE38000014,Persons,17+ yrs,6.58207404046832,6978,106015.215828589,20100000
241,Diabetes: QOF prevalence (17+ yrs),nE38000015,Persons,17+ yrs,6.50936007413342,7778,119489.472258692,20100000
241,Diabetes: QOF prevalence (17+ yrs),nE38000016,Persons,17+ yrs,6.76774269941703,15424,227904.645389793,20100000
241,Diabetes: QOF prevalence (17+ yrs),nE38000021,Persons,17+ yrs,3.82653418313465,7191,187924.624630146,20100000
241,Diabetes: QOF prevalence (17+ yrs),nE38000024,Persons,17+ yrs,5.50588731197196,6608,120016.985920355,20100000
241,Diabetes: QOF prevalence (17+ yrs),nE38000025,Persons,17+ yrs,5.29419021129589,8147,153885.668531842,20100000
241,Diabetes: QOF prevalence (17+ yrs),nE38000028,Persons,17+ yrs,5.9585756777133,5485,92052.2,20100000
241,Diabetes: QOF prevalence (17+ yrs),nE38000030,Persons,17+ yrs,5.69523598996854,7317,128475.8,20100000
241,Diabetes: QOF prevalence (17+ yrs),nE38000034,Persons,17+ yrs,6.06576685250902,7590,125128.449288494,20100000
241,Diabetes: QOF prevalence (17+ yrs),nE38000044,Persons,17+ yrs,6.6285005913064,14592,220140.283598045,20100000
241,Diabetes: QOF prevalence (17+ yrs),nE38000045,Persons,17+ yrs,5.36764641379827,26467,493083.894869881,20100000
241,Diabetes: QOF prevalence (17+ yrs),nE38000049,Persons,17+ yrs,5.0333485205893,19839,394151.128594554,20100000
241,Diabetes: QOF prevalence (17+ yrs),nE38000050,Persons,17+ yrs,5.9385176271541,14966,252015.754429479,20100000
241,Diabetes: QOF prevalence (17+ yrs),nE38000051,Persons,17+ yrs,5.36000325463599,12788,238581.944683324,20100000
241,Diabetes: QOF prevalence (17+ yrs),nE38000052,Persons,17+ yrs,5.98625968077156,10434,174299.154336973,20100000
241,Diabetes: QOF prevalence (17+ yrs),nE38000053,Persons,17+ yrs,5.77846679284737,6021,104197.189597989,20100000
241,Diabetes: QOF prevalence (17+ yrs),nE38000062,Persons,17+ yrs,5.66667708093674,23468,414140.415358212,20100000
241,Diabetes: QOF prevalence (17+ yrs),nE38000068,Persons,17+ yrs,6.81483392167964,6601,96862.2284249748,20100000
241,Diabetes: QOF prevalence (17+ yrs),nE38000079,Persons,17+ yrs,4.55515087541716,18433,404662.776363295,20100000
241,Diabetes: QOF prevalence (17+ yrs),nE38000080,Persons,17+ yrs,6.15889794890305,10413,169072.45559824,20100000
241,Diabetes: QOF prevalence (17+ yrs),nE38000085,Persons,17+ yrs,5.50399228365789,8307,150926.810429306,20100000
241,Diabetes: QOF prevalence (17+ yrs),nE38000086,Persons,17+ yrs,5.11739808074541,13963,272853.504450569,20100000
241,Diabetes: QOF prevalence (17+ yrs),nE38000089,Persons,17+ yrs,5.41911021075274,20769,383254.8,20100000
